Error_PEHE,Error_ATE,MSE_0,MSE_1,Feature,Iteration
-1.8627213978487238,-0.9314918518066406,-3.066534424854015,-0.13461501703938644,X1,0
2.1492340969870973,0.6073708785690748,2.4590120843748675,-0.04732853384829655,X1,1
-1.6553332474956912,-0.7637037979445971,-3.3203832732867733,-0.22364010259809552,X1,2
-1.8419735352678361,-0.9124107109389819,-3.5318993570988813,-0.21975322003836847,X1,3
-1.3399400217178266,-0.5666851745925463,-2.9304870997023063,-0.22478008771139713,X1,4
-2.1428942256447265,-1.3941619396209717,-3.684668329643401,-0.1813311937121969,X1,5
0.2747149224155736,0.09090187679905526,-0.6441005126980066,-0.18103134757209063,X1,6
-0.9028275074558518,-0.3497331142425537,-1.4354150842483158,-0.056986016741120804,X1,7
-0.392258553824437,-0.14056155551295646,-1.6333490291691888,-0.2069090643626228,X1,8
-0.27753011385297466,-0.09795520175319083,-1.467279004711596,-0.20318114464499415,X1,9
-0.21677849657175852,-0.07592151034694083,-1.3786367011187117,-0.20108436304621694,X1,10
-0.6817076070695967,-0.2546999454498291,-1.0792417426690735,-0.0423031582646759,X1,11
1.5411092060691765,0.45510008465427987,1.3936929585082591,-0.10233557732810117,X1,12
3.054091567608296,0.8152041686691724,4.190987057742758,0.06611302428424265,X1,13
-1.1055782924325923,-0.44461536407470703,-1.7658873480167498,-0.07107248082058532,X1,14
-1.4356310066316968,-0.6215867744765795,-3.051981312920267,-0.2249657317112176,X1,15
2.6503792253724514,0.7249140990890943,3.3921504596943866,0.009715025483546746,X1,16
-0.3380371124080268,-0.1202578293166674,-1.555080043977557,-0.20518508967827567,X1,17
-2.0363227470594105,-1.1314267860732592,-3.7183760695239387,-0.21000092737717133,X1,18
0.5042028588508654,0.16295242309570312,0.7860723065396691,0.029410033341182584,X1,19
-2.137296890555636,-1.3621573196731127,-3.7584927477457395,-0.1952245430179215,X1,20
-0.392258553824437,-0.14056155551295646,-1.6333490291691888,-0.2069090643626228,X1,21
-0.6817076070695967,-0.2546999454498291,-1.0792417426690735,-0.0423031582646759,X1,22
-2.024193324811016,-1.113745927810669,-3.382594509362578,-0.15467885927751573,X1,23
-1.6553332474956912,-0.7637037979445971,-3.3203832732867733,-0.22364010259809552,X1,24
-0.5880999731815191,-0.2166461944580078,-0.9295595583040823,-0.036263255087048585,X1,25
0.0,0.0,0.0,0.0,X1,26
-1.9356559997778282,-1.0047986507415771,-3.2049269397478595,-0.14293699169723595,X1,27
-1.3916620762256247,-0.5959289073944092,-2.2409310846182837,-0.09236168999511912,X1,28
