Error_PEHE,Error_ATE,MSE_0,MSE_1,Feature,Iteration
-8.068070613645524,-2.093146800994873,-0.7186104369560162,4.388969194482136,X1,0
-8.398206834656701,-2.3063950538635254,-0.11627855565686218,5.799120523740063,X1,1
-7.644260535320184,-1.8786516189575195,-1.4973078938939146,3.048804827862582,X1,2
-7.704604826917949,-1.9065580368041992,-1.3796685875856838,3.2209555586633036,X1,3
-8.441087613810698,-2.339332103729248,-0.03900730561140264,6.020422530181862,X1,4
-7.823497482514767,-1.9637913703918457,-1.1559301075602981,3.5755786479264984,X1,5
-8.102733052593294,-2.1130495071411133,-0.6568128248960186,4.516882628724987,X1,6
-7.92636672668719,-2.0160679817199707,-0.9700889172919887,3.9013383289507497,X1,7
-7.881571499098943,-1.9929618835449219,-1.050255782795226,3.7570846288491264,X1,8
-8.63264647461117,-2.5144495964050293,0.2952492615373252,7.196549993336754,X1,9
-7.669993996960894,-1.8904647827148438,-1.4467685924985254,3.1216263635234753,X1,10
-7.687260581713426,-1.8984637260437012,-1.4131793313116923,3.1709714650329546,X1,11
-8.284503620476956,-2.2260522842407227,-0.3256763292683402,5.259855746191869,X1,12
-7.92636672668719,-2.0160679817199707,-0.9700889172919887,3.9013383289507497,X1,13
-7.85472511925545,-1.9793701171875,-1.0988322754003121,3.672448350442394,X1,14
-7.63573530266742,-1.874767780303955,-1.5142061409460794,3.0248496186354603,X1,15
-7.704604826917949,-1.9065580368041992,-1.3796685875856838,3.2209555586633036,X1,16
-7.704604826917949,-1.9065580368041992,-1.3796685875856838,3.2209555586633036,X1,17
-7.783562129314445,-1.9442124366760254,-1.2299729238345094,3.4540153827155216,X1,18
-7.944265138899148,-2.025458812713623,-0.9382821386929869,3.9601376275741127,X1,19
-7.6272366789155885,-1.8709068298339844,-1.5311300682700484,3.0010513574150663,X1,20
-8.504893788554952,-2.391779899597168,0.07327055613050959,6.372079303618508,X1,21
-7.944265138899148,-2.025458812713623,-0.9382821386929869,3.9601376275741127,X1,22
-7.5193825934903185,-1.8230514526367188,-1.752870715397993,2.705856642499709,X1,23
-7.704604826917949,-1.9065580368041992,-1.3796685875856838,3.2209555586633036,X1,24
-8.068070613645524,-2.093146800994873,-0.7186104369560162,4.388969194482136,X1,25
-7.6272366789155885,-1.8709068298339844,-1.5311300682700484,3.0010513574150663,X1,26
-7.669993996960894,-1.8904647827148438,-1.4467685924985254,3.1216263635234753,X1,27
-7.665687893305757,-1.8884782791137695,-1.455172798145309,3.1093890307469714,X1,28
-8.69538212579321,-2.588737964630127,0.405577383960523,7.697931302676808,X1,29
-8.119905075073177,-2.1230835914611816,-0.6260649729198988,4.581707950753417,X1,30
-7.823497482514767,-1.9637913703918457,-1.1559301075602981,3.5755786479264984,X1,31
-7.8012789308835835,-1.9528517723083496,-1.1969876739519414,3.5076279522263616,X1,32
