Error_PEHE,Error_ATE,MSE_0,MSE_1,Feature,Iteration
-1.9419360565008885,-0.9786620140075684,-3.480134167171016,-0.17984895593679862,X1,0
1.0999252755528017,0.33365514408726327,0.5683024429695802,-0.20323420472040787,X1,1
-1.7668311956290719,-0.8273136364303149,-4.094585338436014,-0.34436116943833117,X1,2
-1.923116108292593,-0.9602839695296801,-4.240279034965765,-0.33109264353310897,X1,3
-1.5082427300815642,-0.6529113994918383,-3.806900370903338,-0.3576851620742616,X1,4
-2.1918999840381286,-1.428079605102539,-4.201703478754698,-0.25360800782210047,X1,5
-0.2500340200069413,-0.08693811763148673,-1.9968581924310556,-0.3460952971371409,X1,6
-0.9773923236481501,-0.378129243850708,-1.6459278124683125,-0.0722022758876214,X1,7
-0.7576296436258252,-0.2826688038192309,-2.7928350661264396,-0.3632658509719754,X1,8
-0.6691337588817179,-0.2463094936690844,-2.660130714458268,-0.3614492649319683,X1,9
-0.6224704463976201,-0.22756311763148673,-2.5891226975216446,-0.3602944065061265,X1,10
-0.7428236447473386,-0.27650952339172363,-1.240483034019264,-0.05314999083139421,X1,11
0.6708849348731265,0.21134975086826913,-0.3257764048233156,-0.26727244045897663,X1,12
1.735078287860392,0.5009114993729078,2.082345114218949,-0.058505708656228894,X1,13
-1.1892634094296808,-0.478729248046875,-2.0204174824601626,-0.09080865395314058,X1,14
-1.5861423755772837,-0.7013356434188402,-3.8981617895400884,-0.35451380379816405,X1,15
1.4528667693853885,0.4284050716080152,1.3743644241568003,-0.13228087054513032,X1,16
-0.7157460286201811,-0.2653252827010668,-2.73034761442114,-0.36246700138234794,X1,17
-2.090227255810197,-1.1581680523238695,-4.345786395777571,-0.30745315853544,X1,18
0.5651578871135152,0.17982888221740723,0.9140176504277164,0.035661763779637146,X1,19
-2.1824702493702124,-1.3706528889022387,-4.318227125357708,-0.27822144908471125,X1,20
-0.7576296436258252,-0.2826688038192309,-2.7928350661264396,-0.3632658509719754,X1,21
-0.7428236447473386,-0.27650952339172363,-1.240483034019264,-0.05314999083139421,X1,22
-2.09054814420392,-1.1586644649505615,-3.838250193699844,-0.2103041288159978,X1,23
-1.7668311956290719,-0.8273136364303149,-4.094585338436014,-0.34436116943833117,X1,24
-0.6425560775137376,-0.23559784889221191,-1.0695929041818593,-0.04541254366359293,X1,25
0.0,0.0,0.0,0.0,X1,26
-2.0099261727743767,-1.0515575408935547,-3.636069106928254,-0.19230098645143578,X1,27
-1.481484149862565,-0.6369175910949707,-2.555061649882867,-0.11962961809601602,X1,28
-1.5082427300815642,-0.6529113994918383,-3.806900370903338,-0.3576851620742616,X1,29
-1.5082427300815642,-0.6529113994918383,-3.806900370903338,-0.3576851620742616,X1,30
-2.1878338828510566,-1.3983025550842285,-4.1719367445350874,-0.24898766726025878,X1,31
-0.38913602634276856,-0.13773701060634025,-2.223456680650414,-0.35245786635095244,X1,32
-2.1722005232442614,-1.3313016891479492,-4.095405164447836,-0.2384238943932795,X1,33
-2.0705304525788666,-1.129019950517229,-4.338364780879946,-0.3111814822966532,X1,34
-1.7184853865854937,-0.7913491725921631,-3.012390151550636,-0.14721306255429273,X1,35
-0.38913602634276856,-0.13773701060634025,-2.223456680650414,-0.35245786635095244,X1,36
-1.9419360565008885,-0.9786620140075684,-3.480134167171016,-0.17984895593679862,X1,37
-2.1787503201449905,-1.354976867326311,-4.325074107972027,-0.2804866313076535,X1,38
-1.9509357500265496,-0.9876925693831957,-4.262711178589159,-0.32807226687189983,X1,39
-1.8172698226937167,-0.8670749664306641,-3.2130462649347633,-0.160519468027156,X1,40
0.6708849348731265,0.21134975086826913,-0.3257764048233156,-0.26727244045897663,X1,41
-0.6224704463976201,-0.22756311763148673,-2.5891226975216446,-0.3602944065061265,X1,42
-1.2590662795762406,-0.5141608463607348,-3.494629575499494,-0.3640818988412896,X1,43
-0.7428236447473386,-0.27650952339172363,-1.240483034019264,-0.05314999083139421,X1,44
0.06893635788847963,0.023086811415144126,-1.4524775457800638,-0.32641560839488926,X1,45
-0.4308639309199682,-0.15335464477539062,-0.712745688215227,-0.029725768076452663,X1,46
1.0999252755528017,0.33365514408726327,0.5683024429695802,-0.20323420472040787,X1,47
-1.1451530948045954,-0.45696947444301017,-3.343129300172734,-0.365378206517175,X1,48
0.20242607168911597,0.06681230198521249,-1.2141353189000244,-0.31592868234407784,X1,49
-1.2590662795762406,-0.5141608463607348,-3.494629575499494,-0.3640818988412896,X1,50
-2.0705304525788666,-1.129019950517229,-4.338364780879946,-0.3111814822966532,X1,51
-0.4308639309199682,-0.15335464477539062,-0.712745688215227,-0.029725768076452663,X1,52
-2.039582153815103,-1.0875544548034668,-3.707619169569675,-0.1983944304992749,X1,53
-2.09054814420392,-1.1586644649505615,-3.838250193699844,-0.2103041288159978,X1,54
1.4192414838868377,0.4195821536697828,1.2943436888842328,-0.1399050578281933,X1,55
-1.7184853865854937,-0.7913491725921631,-3.012390151550636,-0.14721306255429273,X1,56
-2.090227255810197,-1.1581680523238695,-4.345786395777571,-0.30745315853544,X1,57
-2.090227255810197,-1.1581680523238695,-4.345786395777571,-0.30745315853544,X1,58
-1.7668311956290719,-0.8273136364303149,-4.094585338436014,-0.34436116943833117,X1,59
-1.923116108292593,-0.9602839695296801,-4.240279034965765,-0.33109264353310897,X1,60
-1.8639088939157848,-0.9062797771773852,-4.188548616178821,-0.3367677772003017,X1,61
-0.8393861988090947,-0.31726717948913574,-1.406376805443367,-0.0608244523527367,X1,62
-1.7668311956290719,-0.8273136364303149,-4.094585338436014,-0.34436116943833117,X1,63
-1.6827917772322256,-0.7659556614242113,-4.006199724873119,-0.3496279013947792,X1,64
-2.039582153815103,-1.0875544548034668,-3.707619169569675,-0.1983944304992749,X1,65
-2.0099261727743767,-1.0515575408935547,-3.636069106928254,-0.19230098645143578,X1,66
-0.9773923236481501,-0.378129243850708,-1.6459278124683125,-0.0722022758876214,X1,67
-0.7576296436258252,-0.2826688038192309,-2.7928350661264396,-0.3632658509719754,X1,68
-1.481484149862565,-0.6369175910949707,-2.555061649882867,-0.11962961809601602,X1,69
-1.8619265473411577,-0.904559850692749,-3.3065811869046726,-0.16704955072420957,X1,70
-2.0099261727743767,-1.0515575408935547,-3.636069106928254,-0.19230098645143578,X1,71
-0.38913602634276856,-0.13773701060634025,-2.223456680650414,-0.35245786635095244,X1,72
0.8711973067765966,0.2695162547745191,0.08103282596663419,-0.24002632694140108,X1,73
-2.1608557164400892,-1.2973628044128418,-4.051634828487169,-0.23299345049081466,X1,74
